name,year,selling_price,km_driven,mileage,engine,max_power,torque,seats,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
Maruti 800 Std,2012,150000,0.032196745035704966,0.38333333333333336,0.057718120805369116,0.011437908496732041,59.0,4,False,False,True,True,False,True,False,False,False,False
Honda City i VTEC VX,2018,925000,0.012242973391581966,0.4238095238095238,0.2929530201342282,0.23011982570806105,145.0,5,False,False,True,False,False,True,False,False,False,False
Honda City V MT,2013,425000,0.03656030868611827,0.4,0.2929530201342282,0.2273965141612201,146.0,5,False,False,True,False,False,True,False,False,False,False
Maruti Swift Dzire VXi AT,2018,675000,0.009870550436017447,0.44047619047619047,0.19228187919463088,0.13709150326797387,115.0,5,False,False,True,False,False,False,False,False,False,False
Maruti Vitara Brezza VDi,2018,819999,0.01381046713007995,0.5785714285714285,0.2093959731543624,0.1516884531590414,200.0,5,True,False,False,False,False,True,False,False,False,False
Maruti Alto K10 VXI,2018,390000,0.004363140003456959,0.5702380952380952,0.12550335570469798,0.09327342047930283,90.0,5,False,False,True,False,False,True,False,False,False,False
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,0.041940625031773524,0.3092857142857143,0.6275167785234899,0.18300653594771243,200.0,7,True,False,False,False,False,True,False,False,False,False
Honda Amaze S Diesel,2015,425000,0.021097194779313825,0.588095238095238,0.2932885906040268,0.17927559912854035,200.0,5,True,False,False,False,False,True,False,False,False,False
Mitsubishi Pajero Sport 4X4,2013,1090000,0.06397026676201548,0.3214285714285714,0.6218120805369127,0.3887799564270153,400.0,7,True,False,False,False,False,True,False,False,False,False
Honda City i DTEC S,2015,600000,0.023173064865432778,0.6190476190476191,0.2932885906040268,0.17919389978213512,200.0,5,True,False,False,False,False,True,False,False,False,False
Maruti Ciaz Zeta,2018,850000,0.02711298155949528,0.4916666666666666,0.2812080536912751,0.1918572984749456,138.0,5,False,False,True,False,False,True,False,False,False,False
Honda Jazz VX Diesel,2015,525000,0.026689334603144474,0.65,0.2932885906040268,0.17919389978213512,200.0,5,True,False,False,False,False,True,False,False,False,False
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,0.041940625031773524,0.3092857142857143,0.6275167785234899,0.184640522875817,200.0,7,True,False,False,False,False,True,False,False,False,False
Tata Manza ELAN Quadrajet BS IV,2011,265000,0.05083721111514047,0.5028571428571429,0.2093959731543624,0.15250544662309368,200.0,5,True,False,False,True,False,True,False,False,False,False
Hyundai i10 Magna,2011,190000,0.046600741551632394,0.4847619047619047,0.19228187919463088,0.12554466230936823,111.7,5,False,False,True,True,False,True,False,False,False,True
Hyundai i20 Asta 1.4 CRDi,2013,425000,0.025418393734092055,0.5064285714285713,0.25906040268456376,0.15239651416122008,219.6,5,True,False,False,True,False,True,False,False,False,False
Maruti Swift Dzire ZDI,2015,630000,0.06227567893661225,0.633095238095238,0.2093959731543624,0.11220043572984752,190.0,5,True,False,False,True,False,True,False,True,False,False
Ford Figo 1.2P Titanium MT,2017,600000,0.010590750261813818,0.43238095238095237,0.19194630872483223,0.1470588235294118,112.0,5,False,False,True,True,False,True,False,False,False,True
Maruti Baleno Delta 1.2,2019,650000,0.012708985043567853,0.5095238095238095,0.19228187919463088,0.1369825708061002,115.0,5,False,False,True,True,False,True,False,False,False,False
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,0.01694545460707592,0.5238095238095237,0.2932885906040268,0.2061410675381264,250.0,5,True,False,False,True,False,True,False,False,False,False
Honda City i DTEC VX,2015,630000,0.057191915460402566,0.5976190476190476,0.2932885906040268,0.17919389978213512,200.0,5,True,False,False,True,False,True,False,False,False,False
Maruti Wagon R AMT VXI,2018,448000,0.012708985043567853,0.48833333333333334,0.12550335570469798,0.0931372549019608,90.0,5,False,False,True,True,False,False,False,False,False,False
Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,0.033891332861108195,0.5157142857142857,0.2932885906040268,0.20648148148148154,250.0,5,True,False,False,True,False,True,False,False,False,False
Maruti Vitara Brezza VDi,2016,745000,0.02965486329760012,0.5785714285714285,0.2093959731543624,0.1516884531590414,200.0,5,True,False,False,True,False,True,False,False,False,False
Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,0.004172498873099096,0.5785714285714285,0.2093959731543624,0.1516884531590414,200.0,5,True,False,False,True,False,False,False,False,False,False
Hyundai i10 Magna,2011,235000,0.025418393734092055,0.4847619047619047,0.19228187919463088,0.12554466230936823,111.7,5,False,False,True,True,False,True,False,True,False,False
Maruti Swift VDI Deca,2016,630000,0.02965486329760012,0.6,0.2093959731543624,0.11220043572984752,190.0,5,True,False,False,True,False,True,False,False,False,False
Maruti Swift Star VDI,2013,450000,0.05083721111514047,0.5452380952380952,0.2093959731543624,0.11220043572984752,190.0,5,True,False,False,True,False,True,False,True,False,False
Maruti Ertiga ZXI,2012,450000,0.05083721111514047,0.3814285714285714,0.2513422818791946,0.1658496732026144,130.0,7,False,False,True,True,False,True,False,True,False,False
Volkswagen Vento Diesel Highline,2013,450000,0.0720195589326808,0.489047619047619,0.3268456375838926,0.1928104575163399,250.0,5,True,False,False,True,False,True,False,False,False,False
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,0.0593101502421566,0.3092857142857143,0.6275167785234899,0.184640522875817,200.0,8,True,False,False,True,False,True,False,False,False,False
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,0.03812780242461626,0.5421428571428571,0.2932885906040268,0.1791666666666667,205.0,5,True,False,False,True,False,True,False,False,False,False
Maruti Celerio ZXI MT BSIV,2017,484999,0.004236045916551717,0.55,0.12550335570469798,0.09324618736383446,90.0,5,False,False,True,False,False,True,False,False,False,False
Datsun GO A Petrol,2016,275000,0.02075827721423318,0.45285714285714285,0.19261744966442954,0.09327342047930283,104.0,5,False,False,True,False,False,True,False,False,False,False
Maruti Alto 800 VXI BSIV,2016,315000,0.013556278956269466,0.588095238095238,0.057718120805369116,0.0394880174291939,69.0,5,False,False,True,False,False,True,False,False,False,False
Maruti Alto 800 LXI BSIV,2016,275000,0.016098160694374305,0.588095238095238,0.057718120805369116,0.0394880174291939,69.0,5,False,False,True,False,False,True,False,False,False,False
Hyundai i10 Era 1.1,2012,290000,0.011861691130866239,0.4716666666666666,0.15503355704697988,0.0959967320261438,99.04,5,False,False,True,False,False,True,False,False,False,False
Maruti Omni 8 Seater BSIV,2017,280000,0.013556278956269466,0.3333333333333333,0.057718120805369116,0.00599128540305012,6.1,5,False,False,True,False,False,True,False,False,False,False
Maruti Wagon R LXI LPG BSIV,2010,225000,0.018640042432479145,0.6238095238095237,0.12550335570469798,0.06917211328976038,77.0,5,False,True,False,False,False,True,False,False,False,False
Volkswagen Polo 1.2 MPI Comfortline,2015,455000,0.01779274851977753,0.39214285714285707,0.19261744966442954,0.11220043572984752,110.0,5,False,False,True,False,False,True,False,False,False,False
Hyundai i10 Magna 1.1L,2015,351000,0.019063689388829953,0.4716666666666666,0.15503355704697988,0.0959967320261438,99.04,5,False,False,True,False,False,True,False,True,False,False
Volkswagen Vento Petrol Highline,2012,535000,0.00508333982925333,0.3580952380952381,0.3268456375838926,0.1928104575163399,153.0,5,False,False,True,False,False,True,False,True,False,False
Maruti Zen Estilo LXI BSIII,2009,175000,0.023511982430513424,0.4333333333333333,0.12550335570469798,0.09340958605664489,90.0,5,False,False,True,False,False,True,False,False,False,False
Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,0.026053864168618265,0.44047619047619047,0.19228187919463088,0.13630174291938996,113.7,5,False,False,True,False,False,True,False,False,False,False
Maruti Swift Dzire LDI,2016,600000,0.06354661980566467,0.633095238095238,0.2093959731543624,0.11220043572984752,190.0,5,True,False,False,True,False,True,False,False,False,False
Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,0.030502157210301736,0.45476190476190476,0.19228187919463088,0.1339869281045752,114.0,5,False,False,True,False,False,False,False,False,False,False
Maruti Alto LX BSIII,2008,120000,0.028807569384898507,0.469047619047619,0.057718120805369116,0.036764705882352935,62.0,5,False,False,True,False,False,True,False,False,False,True
Hyundai i20 1.4 Asta Option,2017,725000,0.046600741551632394,0.5366666666666666,0.25906040268456376,0.15231481481481485,219.7,5,True,False,False,True,False,True,False,False,False,False
Maruti Wagon R VXI,2009,185000,0.03262039199205577,0.5188095238095237,0.12550335570469798,0.09327342047930283,90.0,5,False,False,True,False,False,True,False,True,False,False
Tata Manza Aura (ABS) Quadrajet,2010,200000,0.04236427198812433,0.44761904761904764,0.2093959731543624,0.15577342047930287,200.0,5,True,False,False,True,False,True,False,True,False,False
Maruti Swift VXI,2019,615000,0.004236045916551717,0.505,0.19228187919463088,0.13344226579520696,113.0,5,False,False,True,True,False,True,False,False,False,False
Maruti Eeco 7 Seater Standard BSIV,2016,270000,0.04236427198812433,0.3659523809523809,0.19194630872483223,0.10947712418300655,101.0,7,False,False,True,True,False,True,False,False,False,True
Maruti Baleno Zeta 1.2,2018,610000,0.014827219825321886,0.5095238095238095,0.19228187919463088,0.1369825708061002,115.0,5,False,False,True,True,False,True,False,False,False,False
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,0.02965486329760012,0.2807142857142857,0.5218120805369127,0.23747276688453162,290.0,8,True,False,False,True,False,False,False,True,False,False
Ford Freestyle Titanium Petrol BSIV,2020,400000,0.0021178111347976833,0.45238095238095233,0.19127516778523487,0.16851851851851857,120.0,5,False,False,True,True,False,True,False,True,False,False
Hyundai Verna VTVT 1.6 SX,2017,866000,0.016013431303104144,0.40476190476190477,0.324496644295302,0.24101307189542487,151.0,5,False,False,True,True,False,True,False,False,False,False
Volkswagen Passat 1.8 TSI MT,2010,700000,0.04829532937703562,0.3404761904761905,0.39395973154362407,0.34640522875817,250.0,5,False,False,True,True,False,True,False,False,False,False
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,0.02033463025788237,0.3761904761904762,0.18389261744966443,0.0876906318082789,96.0,5,False,False,True,True,False,True,False,False,False,False
Tata Indigo CS LS (TDI) BS-III,2016,375000,0.04236427198812433,0.4545238095238095,0.2620805369127517,0.09861111111111114,135.0,5,True,False,False,True,False,True,False,False,False,False
Hyundai Verna 1.6 SX,2013,522000,0.06354661980566467,0.5314285714285714,0.3214765100671141,0.25468409586056645,259.8,5,True,False,False,True,False,True,False,True,False,False
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,0.029231216341249314,0.5214285714285714,0.25906040268456376,0.15239651416122008,219.6,5,True,False,False,True,False,True,False,False,False,False
Toyota Corolla Altis G,2009,300000,0.04236427198812433,0.3459523809523809,0.39395973154362407,0.286764705882353,173.0,5,False,False,True,True,False,True,False,True,False,False
Maruti Celerio VXI,2020,475000,0.0055069867856041375,0.5149999999999999,0.12550335570469798,0.09324618736383446,90.0,5,False,False,True,True,False,True,False,False,False,False
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,0.025418393734092055,0.5785714285714285,0.2093959731543624,0.1516884531590414,200.0,5,True,False,False,True,False,True,False,False,False,False
Maruti Swift Dzire VXI,2017,595000,0.01694545460707592,0.49642857142857144,0.19228187919463088,0.13709150326797387,115.0,5,False,False,True,True,False,True,False,False,False,False
Maruti Wagon R VXI BS IV,2017,440000,0.014827219825321886,0.48833333333333334,0.12550335570469798,0.09324618736383446,90.0,5,False,False,True,True,False,True,False,False,False,False
Nissan Terrano XL 85 PS,2014,400000,0.02965486329760012,0.48690476190476184,0.2808724832214765,0.1388888888888889,200.0,5,True,False,False,True,False,True,False,False,False,True
Hyundai Creta 1.6 CRDi SX,2016,1140000,0.021181924170583986,0.4683333333333333,0.3214765100671141,0.2543572984749456,259.9,5,True,False,False,True,False,True,False,False,False,False
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,0.032255631962637726,0.5476190476190476,0.2932885906040268,0.18017429193899787,205.0,5,True,False,False,True,False,True,False,False,False,False
Maruti Swift Dzire VDi,2012,370000,0.07413779371443484,0.4595238095238095,0.2093959731543624,0.11192810457516343,190.0,5,True,False,False,True,False,True,True,False,False,False
Renault KWID 1.0,2018,350000,0.010590750261813818,0.5478571428571428,0.12583892617449663,0.0931372549019608,91.0,5,False,False,True,True,False,True,False,False,False,False
Maruti Celerio VXI,2015,360000,0.01694545460707592,0.55,0.12550335570469798,0.09324618736383446,90.0,5,False,False,True,True,False,True,False,True,False,False
Maruti Alto LXi,2008,105000,0.02753662851584609,0.469047619047619,0.057718120805369116,0.036764705882352935,62.0,5,False,False,True,True,False,True,True,False,False,False
Maruti Ertiga VDI,2013,625000,0.03812780242461626,0.4945238095238095,0.2093959731543624,0.15239651416122008,200.0,7,True,False,False,True,False,True,False,True,False,False
Hyundai Santro Xing GLS,2009,135000,0.033891332861108195,0.4266666666666667,0.15503355704697988,0.0797930283224401,96.1,5,False,False,True,True,False,True,False,True,False,False
Maruti Ertiga VDI,2015,700000,0.046600741551632394,0.4945238095238095,0.2093959731543624,0.15239651416122008,200.0,7,True,False,False,True,False,True,False,True,False,False
Honda Amaze S i-VTEC,2019,690000,0.0005515883371687504,0.4238095238095238,0.19261744966442954,0.14678649237472768,109.0,5,False,False,True,False,False,True,False,False,False,False
Honda City i-VTEC CVT VX,2017,795000,0.017369101563426727,0.42857142857142855,0.2929530201342282,0.23093681917211334,145.0,5,False,False,True,False,False,False,False,False,False,False
Toyota Corolla Altis 1.8 G CVT,2013,625000,0.016521807650725112,0.33999999999999997,0.39395973154362407,0.2865740740740741,173.0,5,False,False,True,False,False,False,False,False,False,False
Maruti Ciaz ZDi,2015,535000,0.01694545460707592,0.6240476190476191,0.2093959731543624,0.1516884531590414,200.0,5,True,False,False,False,False,True,False,False,False,False
BMW 5 Series 523i,2010,975000,0.030586886601571897,0.2571428571428572,0.6285234899328859,0.3191721132897604,250.0,5,False,False,True,False,False,False,False,True,False,False
Hyundai Elantra S,2016,805000,0.021139559474948905,0.3880952380952381,0.3936241610738255,0.31236383442265797,177.5,5,False,False,True,False,False,True,False,False,False,False
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,0.004659692872902524,0.40476190476190477,0.19261744966442954,0.20615468409586063,170.0,5,False,False,True,False,False,True,False,False,False,False
Volkswagen Vento Petrol Highline,2011,375000,0.02075827721423318,0.3580952380952381,0.3268456375838926,0.1928104575163399,153.0,5,False,False,True,True,False,True,False,False,False,False
Hyundai Elantra SX,2012,550000,0.040246037206370294,0.3880952380952381,0.3936241610738255,0.31236383442265797,177.5,5,False,False,True,True,False,True,False,False,False,False
Skoda Rapid 1.6 MPI AT Elegance,2016,645000,0.004659692872902524,0.3404761904761905,0.3268456375838926,0.1925381263616558,153.0,5,False,False,True,False,False,False,False,False,False,False
Maruti Ertiga ZXI,2014,599000,0.01952970104081584,0.3814285714285714,0.2513422818791946,0.1658496732026144,130.0,7,False,False,True,False,False,True,False,False,False,False
Honda City V AT,2017,875000,0.0076252215673581715,0.3714285714285714,0.2929530201342282,0.2273965141612201,146.0,5,False,False,True,False,False,False,False,False,False,False
Toyota Glanza V CVT,2019,894999,0.004089464069654338,0.46571428571428564,0.19228187919463088,0.13344226579520696,113.0,5,False,False,True,False,False,False,False,False,False,False
Maruti Alto K10 VXI,2011,175000,0.004659692872902524,0.5702380952380952,0.12550335570469798,0.09327342047930283,90.0,5,False,False,True,False,False,True,False,False,False,False
Maruti Swift VXI,2012,340000,0.010294197392368254,0.505,0.19228187919463088,0.13344226579520696,113.0,5,False,False,True,False,False,True,False,False,False,False
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,0.0033887520038501035,0.5119047619047619,0.2929530201342282,0.20615468409586063,260.0,5,True,False,False,False,False,False,False,False,False,False
Toyota Camry W4 (AT),2009,450000,0.03007851025395093,0.28809523809523807,0.5832214765100671,0.3592047930283225,224.0,5,False,False,True,False,False,False,False,False,False,False
Maruti Ertiga BSIV ZXI Plus,2016,850000,0.008472515480059785,0.41666666666666663,0.2513422818791946,0.1587690631808279,130.0,7,False,False,True,True,False,True,False,False,False,False
Volkswagen Vento Diesel Highline,2011,300000,0.04236427198812433,0.489047619047619,0.3268456375838926,0.1928104575163399,250.0,5,True,False,False,True,False,True,False,True,False,False
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,0.004024222438376314,0.43238095238095237,0.19194630872483223,0.1470588235294118,112.0,5,False,False,True,True,False,True,False,False,False,False
Ford Figo Diesel LXI,2011,160000,0.05083721111514047,0.47619047619047616,0.2600671140939598,0.09586056644880177,160.0,5,True,False,False,True,False,True,False,False,False,False
Maruti Swift VXI Optional,2015,515000,0.015505054955483178,0.48571428571428565,0.19228187919463088,0.13344226579520696,113.0,5,False,False,True,True,False,True,False,False,False,False
Maruti Wagon R AMT VXI,2015,390000,0.021181924170583986,0.48833333333333334,0.12550335570469798,0.0931372549019608,90.0,5,False,False,True,True,False,False,False,True,False,False
Hyundai i20 Magna 1.2,2016,550000,0.005930633741954944,0.4428571428571429,0.19228187919463088,0.1335239651416122,114.7,5,False,False,True,True,False,True,False,True,False,False
Maruti 800 Std,1999,40000,0.01694545460707592,0.38333333333333336,0.057718120805369116,0.011437908496732041,59.0,4,False,False,True,True,False,True,False,True,False,False
Maruti Ritz VDi,2010,220000,0.05083721111514047,0.5023809523809524,0.2093959731543624,0.11192810457516343,113.0,5,True,False,False,True,False,True,False,False,False,False
Hyundai Grand i10 Magna,2015,425000,0.02965486329760012,0.44999999999999996,0.19228187919463088,0.1339869281045752,114.0,5,False,False,True,True,False,True,False,False,False,False
Volkswagen Ameo 1.0 MPI Trendline,2019,480000,0.0055069867856041375,0.46285714285714286,0.12583892617449663,0.11492374727668848,95.0,5,False,False,True,True,False,True,False,False,False,False
Hyundai Grand i10 Sportz,2014,400000,0.025418393734092055,0.44999999999999996,0.19228187919463088,0.1339869281045752,114.0,5,False,False,True,True,False,True,False,True,False,False
Maruti Swift Dzire VXI,2014,487000,0.014827219825321886,0.45476190476190476,0.19228187919463088,0.14433551198257083,114.0,5,False,False,True,True,False,True,False,False,False,False
Hyundai Xcent 1.2 Kappa S,2016,386000,0.018640042432479145,0.45476190476190476,0.19228187919463088,0.1339869281045752,114.0,5,False,False,True,True,False,True,False,True,False,False
Honda City 1.5 EXI,2005,100000,0.05083721111514047,0.30952380952380953,0.2916107382550335,0.18300653594771243,13.1,5,False,False,True,True,False,True,False,True,False,False
Toyota Corolla Altis Diesel D4DG,2010,300000,0.025418393734092055,0.5102380952380952,0.2483221476510067,0.1481481481481482,205.0,5,True,False,False,True,False,True,False,False,False,False
Daewoo Matiz SD,2000,100000,0.025418393734092055,0.44047619047619047,0.057718120805369116,0.05501089324618737,71.0,5,False,False,True,True,False,True,False,False,False,False
Mahindra KUV 100 mFALCON G80 K8,2016,450000,0.006354280698305751,0.4321428571428571,0.19261744966442954,0.1339869281045752,115.0,6,False,False,True,True,False,True,False,True,False,False
Tata Zest Quadrajet 1.3 75PS XM,2017,490000,0.03812780242461626,0.5464285714285714,0.2093959731543624,0.11220043572984752,190.0,5,True,False,False,True,False,True,False,False,False,False
Honda City 1.5 S MT,2009,345000,0.019910983301531567,0.40476190476190477,0.2929530201342282,0.23202614379084974,146.0,5,False,False,True,True,False,True,False,True,False,False
Maruti Zen LXI,2005,85000,0.03812780242461626,0.4119047619047619,0.12382550335570472,0.07407407407407408,78.0,5,False,False,True,True,False,True,False,False,False,False
Maruti Wagon R VXI BS IV with ABS,2010,215000,0.05109139928895095,0.44999999999999996,0.12550335570469798,0.09340958605664489,90.0,5,False,False,True,True,False,True,False,True,False,False
Hyundai Verna Transform SX VTVT,2010,320000,0.04236427198812433,0.3857142857142857,0.3271812080536912,0.1917211328976035,14.9,5,False,False,True,True,False,True,False,False,False,True
Maruti Swift Dzire VXI,2016,459999,0.025418393734092055,0.49642857142857144,0.19228187919463088,0.13709150326797387,115.0,5,False,False,True,True,False,True,False,True,False,False
Hyundai Getz GLS,2005,65000,0.03643321459921303,0.36428571428571427,0.24060402684563756,0.13671023965141615,115.0,5,False,False,True,True,False,True,False,False,False,False
Hyundai Elite i20 Sportz Plus BSIV,2020,720000,0.0021178111347976833,0.4428571428571429,0.19228187919463088,0.13360566448801747,117.0,5,False,False,True,True,False,True,False,False,False,False
Maruti Ciaz 1.3 Alpha,2017,800000,0.015674513738023498,0.6688095238095237,0.2093959731543624,0.1516884531590414,200.0,5,True,False,False,True,False,True,False,False,False,False
Tata Tigor 1.2 Revotron XZ,2019,520000,0.005930633741954944,0.48333333333333334,0.1929530201342282,0.13943355119825712,114.0,5,False,False,True,True,False,True,False,False,False,False
Maruti Ertiga VDI,2015,580000,0.02965486329760012,0.4945238095238095,0.2093959731543624,0.15239651416122008,200.0,7,True,False,False,True,False,True,False,False,False,False
Honda City i VTEC S,2015,600000,0.021181924170583986,0.4142857142857142,0.2929530201342282,0.23011982570806105,145.0,5,False,False,True,True,False,True,False,False,False,False
